GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
zeal-domain,com.dzone.albanoj2.zeal.domain,Article,0,93,0,4,0,33,0,18,0,16
zeal-domain,com.dzone.albanoj2.zeal.domain,Comment,0,36,0,0,0,15,0,8,0,8
